ID, route, distanceKm, originAirport, originCity, latitude, longitude, destinationAirport, destinationCity, latitude, longitude, dayOfWeek, departureTime, arrivalTime, flightSize
CA1942, YYW-YYE, 2339, YYW, Armstrong, 50.29029846191406, -88.90969848632812, YYE, Fort Nelson, 58.8363990784, -122.597000122, 7, 21:10, 01:19, 145, 
CA2215, YWH-YTM, 3603, YWH, Victoria, 48.4249858939, -123.388867378, YTM, Mont-Tremblant, 46.409400939899996, -74.7799987793, 7, 18:52, 00:38, 110, 
CA2670, YXN-YQB, 2175, YXN, Whale Cove, 62.24000167849999, -92.59809875490001, YQB, Quebec, 46.7911, -71.393303, 3, 09:05, 12:52, 145, 
CA2297, YOG-ZUM, 1481, YOG, Ogoki Post, 51.6585998535, -85.9017028809, ZUM, Churchill Falls, 53.5619010925293, -64.10639953613281, 3, 14:16, 16:48, 145, 
CA871, YPR-YQB, 4129, YPR, Prince Pupert, 54.286098480199996, -130.445007324, YQB, Quebec, 46.7911, -71.393303, 4, 10:52, 17:14, 81, 
CA2180, YZW-YSD, 1742, YZW, Teslin, 60.17279815673828, -132.7429962158203, YSD, Suffield, 50.266700744628906, -111.18299865722656, 4, 19:19, 22:23, 145, 
CA1091, YQH-YYH, 1928, YQH, Watson Lake, 60.11640167236328, -128.82200622558594, YYH, Spence Bay, 69.5466995239, -93.5766983032, 2, 21:27, 00:49, 110, 
CA969, YQB-YUL, 233, YQB, Quebec, 46.7911, -71.393303, YUL, Montreal, 45.4706001282, -73.7407989502, 0, 11:19, 12:04, 81, 
CA228, YEG-YVR, 809, YEG, Edmonton, 53.309700012200004, -113.580001831, YVR, Vancouver, 49.193901062, -123.183998108, 0, 09:55, 11:22, 81, 
CA1894, YYE-YYC, 1016, YYE, Fort Nelson, 58.8363990784, -122.597000122, YYC, Calgary, 51.113899231, -114.019996643, 6, 13:44, 15:36, 145, 
CA1482, YVR-YHZ, 4430, YVR, Vancouver, 49.193901062, -123.183998108, YHZ, Halifax, 44.8807983398, -63.5085983276, 0, 10:38, 18:11, 145, 
CA2134, YZR-YBB, 2873, YZR, Sarnia, 42.9994010925293, -82.30889892578125, YBB, Pelly Bay, 68.534401, -89.808098, 4, 23:40, 04:21, 145, 
CA1702, YXP-YCC, 2401, YXP, Pangnirtung, 66.1449966431, -65.71360015869999, YCC, Cornwall, 45.09280014038086, -74.56330108642578, 6, 14:39, 18:29, 232, 
CA1651, YXC-YKU, 2553, YXC, Cranbrook, 49.610801696777, -115.78199768066, YKU, Chisasibi, 53.805599212646484, -78.91690063476562, 2, 07:45, 11:58, 145, 
CA2717, ZBF-YSU, 195, ZBF, Bathurst, 47.629699707, -65.738899231, YSU, Summerside, 46.44060134887695, -63.83359909057617, 4, 19:40, 20:25, 232, 
CA1731, YXT-YIK, 2990, YXT, Terrace, 54.468498, -128.576009, YIK, Ivujivik, 62.417301177978516, -77.92530059814453, 1, 15:25, 20:14, 81, 
CA2689, YZG-YGZ, 1607, YZG, Salluit, 62.17940139770508, -75.66719818115234, YGZ, Grise Fiord, 76.4261016846, -82.90920257570001, 4, 12:18, 15:04, 81, 
CA2349, XKS-YCN, 722, XKS, Kasabonika, 53.52470016479492, -88.6427993774414, YCN, Cochrane, 49.10559844970703, -81.01360321044922, 3, 19:11, 20:22, 110, 
